               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  81,             0.10373,             0.18103,            0.018914,             0.15426,             0.63362,             0.23322,             0.20208,            0.069589,             0.10064,             0.17863,            0.022582,             0.15489,           0.0072361,           0.0072361,           0.0072361
                  82,             0.10142,             0.19295,            0.021791,             0.15459,             0.62087,             0.22413,             0.17411,            0.054643,             0.10298,             0.17977,            0.020441,              0.1558,           0.0071762,           0.0071762,           0.0071762
                  83,             0.10269,             0.19088,            0.019053,              0.1543,             0.69286,             0.19732,             0.18541,            0.060974,             0.10342,             0.17813,             0.02107,             0.15209,            0.007116,            0.007116,            0.007116
                  84,             0.10077,             0.17297,            0.021194,             0.15386,             0.63132,             0.20711,             0.19652,            0.064818,             0.10019,             0.17895,            0.020685,             0.15362,           0.0070555,           0.0070555,           0.0070555
                  85,              0.1019,             0.18221,            0.018657,             0.15426,             0.68039,              0.1899,             0.16707,            0.054068,              0.1029,             0.18016,            0.019473,             0.15489,           0.0069948,           0.0069948,           0.0069948
                  86,             0.10234,             0.19671,            0.019086,             0.15236,             0.54397,             0.23024,             0.20069,            0.072226,             0.10078,             0.17721,            0.019256,             0.15204,           0.0069338,           0.0069338,           0.0069338
                  87,             0.10164,             0.20359,            0.018653,             0.15211,             0.70298,             0.20869,             0.20229,            0.071181,             0.10129,              0.1767,            0.020599,             0.15161,           0.0068726,           0.0068726,           0.0068726
                  88,             0.10268,             0.18714,            0.019103,             0.15162,             0.72902,             0.21174,              0.2201,            0.081272,             0.10086,             0.17832,            0.020864,             0.15013,           0.0068111,           0.0068111,           0.0068111
                  89,             0.10273,             0.18813,            0.019124,             0.15158,             0.62543,             0.24068,             0.20744,            0.069837,             0.10093,             0.17767,            0.018757,             0.15374,           0.0067495,           0.0067495,           0.0067495
                  90,             0.10217,             0.18406,            0.018076,             0.15004,             0.63014,             0.20411,             0.20714,            0.069222,             0.10062,             0.17855,            0.019302,             0.15011,           0.0066877,           0.0066877,           0.0066877
                  91,             0.10264,             0.19887,            0.019023,             0.15096,             0.60501,             0.22197,             0.22136,            0.074294,             0.10116,             0.17871,            0.018947,             0.14979,           0.0066257,           0.0066257,           0.0066257
                  92,             0.10184,             0.19188,            0.019128,             0.15059,             0.66369,             0.21127,             0.21456,            0.073383,             0.10085,             0.17884,            0.018673,             0.14989,           0.0065636,           0.0065636,           0.0065636
                  93,             0.10259,             0.18388,            0.018921,              0.1503,             0.66022,             0.20962,             0.22543,            0.080512,            0.099916,              0.1791,             0.01838,             0.14867,           0.0065013,           0.0065013,           0.0065013
                  94,             0.10061,             0.19493,            0.018301,                0.15,             0.71817,             0.21517,             0.21749,             0.07009,            0.099686,             0.18194,            0.018521,              0.1471,           0.0064389,           0.0064389,           0.0064389
                  95,             0.10077,             0.19303,            0.016918,             0.14845,             0.65061,             0.23153,             0.22231,            0.073547,             0.10057,             0.17792,            0.019032,             0.14859,           0.0063764,           0.0063764,           0.0063764
                  96,             0.10046,             0.18476,            0.016935,             0.14792,              0.6168,             0.22225,             0.22885,            0.082949,            0.099523,             0.18279,            0.019531,             0.14897,           0.0063138,           0.0063138,           0.0063138
                  97,             0.10302,             0.18119,             0.01774,             0.14935,             0.65542,             0.22033,             0.22359,             0.07927,            0.099428,             0.17906,            0.018187,             0.14826,           0.0062512,           0.0062512,           0.0062512
                  98,            0.099765,              0.1958,             0.01606,             0.14578,             0.56708,             0.20567,             0.19838,            0.067027,             0.10001,             0.17973,             0.01766,             0.14802,           0.0061884,           0.0061884,           0.0061884
                  99,            0.099259,             0.19701,            0.016673,             0.14595,             0.54222,             0.25742,             0.23682,            0.088476,            0.099572,             0.17831,            0.018205,             0.14845,           0.0061256,           0.0061256,           0.0061256
                 100,            0.099574,             0.18889,             0.01652,             0.14608,             0.66431,             0.21949,              0.2201,            0.076622,             0.10198,             0.17991,            0.018143,             0.14937,           0.0060628,           0.0060628,           0.0060628
                 101,             0.10204,             0.17666,            0.015849,             0.14665,             0.62241,             0.24778,             0.24513,            0.089333,             0.10023,             0.17628,             0.01734,             0.14707,               0.006,               0.006,               0.006
                 102,            0.099422,             0.17064,            0.017028,             0.14716,             0.55009,             0.23649,             0.22055,            0.077363,             0.10019,             0.17493,            0.017549,              0.1463,           0.0059372,           0.0059372,           0.0059372
                 103,             0.10031,             0.18438,            0.015029,             0.14399,             0.65699,             0.23959,             0.23895,            0.085601,              0.0988,             0.17921,            0.018734,             0.14411,           0.0058744,           0.0058744,           0.0058744
                 104,            0.099603,             0.18879,             0.01687,             0.14522,             0.58631,             0.26029,             0.25379,            0.090589,            0.099186,             0.17917,            0.017682,             0.14557,           0.0058116,           0.0058116,           0.0058116
                 105,              0.1006,             0.20021,            0.016289,             0.14393,             0.59493,             0.24821,             0.24007,            0.085604,             0.10003,             0.17543,             0.01782,             0.14637,           0.0057488,           0.0057488,           0.0057488
                 106,            0.097584,             0.17085,            0.016941,             0.14381,             0.59414,             0.27011,             0.25737,            0.097799,            0.098216,             0.17555,            0.016227,             0.14494,           0.0056862,           0.0056862,           0.0056862
                 107,            0.099499,             0.18914,            0.017807,             0.14465,             0.59904,             0.22176,             0.22299,            0.080714,            0.099678,             0.17848,            0.016948,             0.14395,           0.0056236,           0.0056236,           0.0056236
